LABEL_TYPECODE,SERIAL_NUMBER,BARCODE,LOCATION,INSTITUTION,MANUFACTURER,NAME_LABEL,PRODUCTION_DATE,BATCH_NUMBER,COMMENT_DESCRIPTION,MADE-FROM-TYPECODE[0],MADE-FROM-SN[0],MADE-FROM-TYPECODE[1],MADE-FROM-SN[1],MADE-FROM-TYPECODE[2],MADE-FROM-SN[2],MADE-FROM-TYPECODE[3],MADE-FROM-SN[3],MADE-FROM-TYPECODE[4],MADE-FROM-SN[4]
EL-10E,320EL10E2020001,320EL10E2020001,UMN,UMN,TTM-Caltronics,LD Engine E 320EL10E2020001,2025-07-02,2,Production,IC-LPG,B228EE7B,IC-LPG,322F806D,IC-LPG,3A282B5F,IC-LDH, LDO 14 003419,EL-1BE,320EL1BE1020001
EL-10E,320EL10E2020027,320EL10E2020027,UMN,UMN,TTM-Caltronics,LD Engine E 320EL10E2020027,2025-07-02,2,Production,IC-LPG,5AA9DDB8,IC-LPG,F2AD45E5,IC-LPG,3A2DD76A,IC-LDH, LDO 14 000457,EL-1BE,320EL1BE1020027
EL-10E,320EL10E2020028,320EL10E2020028,UMN,UMN,TTM-Caltronics,LD Engine E 320EL10E2020028,2025-07-02,2,Production,IC-LPG,5A2EC94D,IC-LPG,BA2F5EF8,IC-LPG,5A2D8D5F,IC-LDH, LDO 14 003181,EL-1BE,320EL1BE1020028
EL-10E,320EL10E2020031,320EL10E2020031,UMN,UMN,TTM-Caltronics,LD Engine E 320EL10E2020031,2025-07-02,2,Production,IC-LPG,3A2B8E90,IC-LPG,F2AD89D6,IC-LPG,722D5609,IC-LDH, LDO 14 003338,EL-1BE,320EL1BE1020031
EL-10E,320EL10E2020032,320EL10E2020032,UMN,UMN,TTM-Caltronics,LD Engine E 320EL10E2020032,2025-07-02,2,Production,IC-LPG,DA2CE9B5,IC-LPG,322C31B9,IC-LPG,BA2CDC4A,IC-LDH, LDO 14 003356,EL-1BE,320EL1BE1020032
EL-10E,320EL10E2020033,320EL10E2020033,UMN,UMN,TTM-Caltronics,LD Engine E 320EL10E2020033,2025-07-02,2,Production,IC-LPG,9A2DBBCF,IC-LPG,322A0B1C,IC-LPG,5A2BB836,IC-LDH, LDO 14 003526,EL-1BE,320EL1BE1020033
EL-10E,320EL10E2020034,320EL10E2020034,UMN,UMN,TTM-Caltronics,LD Engine E 320EL10E2020034,2025-07-02,2,Production,IC-LPG,BA2F7CD5,IC-LPG,3AAC4721,IC-LPG,522FD052,IC-LDH, LDO 14 003246,EL-1BE,320EL1BE1020034
EL-10E,320EL10E2020035,320EL10E2020035,UMN,UMN,TTM-Caltronics,LD Engine E 320EL10E2020035,2025-07-02,2,Production,IC-LPG,7A29B323,IC-LPG,DA2FCBCE,IC-LPG,5AA9D1BB,IC-LDH, LDO 14 003309,EL-1BE,320EL1BE1020035
EL-10E,320EL10E2020036,320EL10E2020036,UMN,UMN,TTM-Caltronics,LD Engine E 320EL10E2020036,2025-07-02,2,Production,IC-LPG,522A70CB,IC-LPG,522FDCF4,IC-LPG,7A2ABAB0,IC-LDH, LDO 14 003305,EL-1BE,320EL1BE1020036
EL-10E,320EL10E2020037,320EL10E2020037,UMN,UMN,TTM-Caltronics,LD Engine E 320EL10E2020037,2025-07-02,2,Production,IC-LPG,9A2D5687,IC-LPG,92AD01C1,IC-LPG,52AB234C,IC-LDH, LDO 14 008354,EL-1BE,320EL1BE1020037
EL-10E,320EL10E2020038,320EL10E2020038,UMN,UMN,TTM-Caltronics,LD Engine E 320EL10E2020038,2025-07-02,2,Production,IC-LPG,322A8FAB,IC-LPG,12AC825A,IC-LPG,72AA0544,IC-LDH, LDO 14 008371,EL-1BE,320EL1BE1020038
