LABEL_TYPECODE,SERIAL_NUMBER,BARCODE,LOCATION,INSTITUTION,MANUFACTURER,NAME_LABEL,PRODUCTION_DATE,BATCH_NUMBER,COMMENT_DESCRIPTION,MADE-FROM-TYPECODE[0],MADE-FROM-SN[0],MADE-FROM-TYPECODE[1],MADE-FROM-SN[1],MADE-FROM-TYPECODE[2],MADE-FROM-SN[2],MADE-FROM-TYPECODE[3],MADE-FROM-SN[3],MADE-FROM-TYPECODE[4],MADE-FROM-SN[4]
EH-0QF,320EH0QF0010001,320EH0QF0010001,UMN,UMN,Caltronics-Minnesota,HD Engine F 320EH0QF0010001,2024-11-22,1,Preproduction,IC-LPG,442B71D2,IC-LPG,AC2B8D63,IC-LPG,4CAD793D,IC-LDH,000188 LDO W1,EH-BQF,320EHBQF0010001
EH-0QF,320EH0QF0010004,320EH0QF0010004,UMN,UMN,Caltronics-Minnesota,HD Engine F 320EH0QF0010004,2024-11-22,1,Preproduction,IC-LPG,2CAE5819,IC-LPG,8CAB2362,IC-LPG,4C29BF7F,IC-LDH,,EH-BQF,320EHBQF0010004
EH-0QF,320EH0QF0010009,320EH0QF0010009,UMN,UMN,Caltronics-Minnesota,HD Engine F 320EH0QF0010009,2024-11-22,1,Preproduction,IC-LPG,4CAD31B6,IC-LPG,0CA9EEE1,IC-LPG,AC286072,IC-LDH,000109 LDO W1,EH-BQF,320EHBQF0010009
EH-0QF,320EH0QF0010011,320EH0QF0010011,UMN,UMN,Caltronics-Minnesota,HD Engine F 320EH0QF0010011,2024-11-22,1,Preproduction,IC-LPG,44AADD96,IC-LPG,C42C466D,IC-LPG,ECAED3CB,IC-LDH,000160 LDO W1,EH-BQF,320EHBQF0010011
EH-0QF,320EH0QF0010012,320EH0QF0010012,UMN,UMN,Caltronics-Minnesota,HD Engine F 320EH0QF0010012,2024-11-22,1,Preproduction,IC-LPG,E4AC6F7D,IC-LPG,8CAB3485,IC-LPG,4CAD6E19,IC-LDH,000091 LDO W1,EH-BQF,320EHBQF0010012
EH-0QF,320EH0QF0010013,320EH0QF0010013,UMN,UMN,Caltronics-Minnesota,HD Engine F 320EH0QF0010013,2024-11-22,1,Preproduction,IC-LPG,0C28420F,IC-LPG,2C2AA2C2,IC-LPG,E4AF71F9,IC-LDH,000146 LDO W1,EH-BQF,320EHBQF0010013
EH-0QF,320EH0QF0010015,320EH0QF0010015,UMN,UMN,Caltronics-Minnesota,HD Engine F 320EH0QF0010015,2024-11-22,1,Preproduction,IC-LPG,242D6635,IC-LPG,64AEE9BA,IC-LPG,C42C9719,IC-LDH,000156 LDO W1,EH-BQF,320EHBQF0010015
EH-0QF,320EH0QF0010016,320EH0QF0010016,UMN,UMN,Caltronics-Minnesota,HD Engine F 320EH0QF0010016,2024-11-22,1,Preproduction,IC-LPG,AC2DB1CF,IC-LPG,84AF96BD,IC-LPG,ACA9C09F,IC-LDH,000169 LDO W1,EH-BQF,320EHBQF0010016
EH-0QF,320EH0QF0010017,320EH0QF0010017,UMN,UMN,Caltronics-Minnesota,HD Engine F 320EH0QF0010017,2024-11-22,1,Preproduction,IC-LPG,4C2AFD94,IC-LPG,6C2E93ED,IC-LPG,C42C0BE3,IC-LDH,000106 LDO W1,EH-BQF,320EHBQF0010017
EH-0QF,320EH0QF0010025,320EH0QF0010025,UMN,UMN,Caltronics-Minnesota,HD Engine F 320EH0QF0010025,2024-11-22,1,Preproduction,IC-LPG,0CA90AC6,IC-LPG,842D03FF,IC-LPG,6C2B56DD,IC-LDH,,EH-BQF,320EHBQF0010025
EH-0QF,320EH0QF0010028,320EH0QF0010028,UMN,UMN,Caltronics-Minnesota,HD Engine F 320EH0QF0010028,2024-11-22,1,Preproduction,IC-LPG,842EED21,IC-LPG,24A9EBA5,IC-LPG,8C2FEA1C,IC-LDH,,EH-BQF,320EHBQF0010028
