LABEL_TYPECODE,SERIAL_NUMBER,BARCODE,LOCATION,INSTITUTION,MANUFACTURER,NAME_LABEL,PRODUCTION_DATE,BATCH_NUMBER,COMMENT_DESCRIPTION,MADE-FROM-TYPECODE[0],MADE-FROM-SN[0],MADE-FROM-TYPECODE[1],MADE-FROM-SN[1],MADE-FROM-TYPECODE[2],MADE-FROM-SN[2],MADE-FROM-TYPECODE[3],MADE-FROM-SN[3],MADE-FROM-TYPECODE[4],MADE-FROM-SN[4]
EL-10E,320EL10E1010001,320EL10E1010001,UMN,UMN,Caltronics-Minnesota,LD Engine E 320EL10E1010001,2024-11-22,1,"Preproduction, thermally tested",IC-LPG,E42D1224,IC-LPG,2C2A1549,IC-LPG,44A959B4,IC-LDH, LDO 14 003821,EL-1BE,320EL1BE1010001
EL-10E,320EL10E1010002,320EL10E1010002,UMN,UMN,Caltronics-Minnesota,LD Engine E 320EL10E1010002,2024-11-22,1,"Preproduction, thermally tested",IC-LPG,AC2B6C41,IC-LPG,4CAB800E,IC-LPG,2C2920BC,IC-LDH, LDO 14 000579,EL-1BE,320EL1BE1010002
EL-10E,320EL10E1010003,320EL10E1010003,UMN,UMN,Caltronics-Minnesota,LD Engine E 320EL10E1010003,2024-11-22,1,"Preproduction, thermally tested",IC-LPG,EC2A3832,IC-LPG,2C2AC764,IC-LPG,ECADAD13,IC-LDH, LDO 14 000173,EL-1BE,320EL1BE1010003
EL-10E,320EL10E1010004,320EL10E1010004,UMN,UMN,Caltronics-Minnesota,LD Engine E 320EL10E1010004,2024-11-22,1,"Preproduction, thermally tested",IC-LPG,2CAE79C7,IC-LPG,E4AC249C,IC-LPG,C42F1FC7,IC-LDH, LDO 14 003830,EL-1BE,320EL1BE1010004
EL-10E,320EL10E1010005,320EL10E1010005,UMN,UMN,Caltronics-Minnesota,LD Engine E 320EL10E1010005,2024-11-22,1,"Preproduction, thermally tested",IC-LPG,0CAC7121,IC-LPG,442D2147,IC-LPG,4C2FF2CB,IC-LDH, LDO 14 000113,EL-1BE,320EL1BE1010005
EL-10E,320EL10E1010006,320EL10E1010006,UMN,UMN,Caltronics-Minnesota,LD Engine E 320EL10E1010006,2024-11-22,1,"Preproduction, thermally tested",IC-LPG,ACAA3659,IC-LPG,EC2C3132,IC-LPG,242EB8D4,IC-LDH, LDO 14 002969,EL-1BE,320EL1BE1010006
EL-10E,320EL10E1010007,320EL10E1010007,UMN,UMN,Caltronics-Minnesota,LD Engine E 320EL10E1010007,2024-11-22,1,"Preproduction, thermally tested",IC-LPG,2C2CEC1C,IC-LPG,ACAA7E78,IC-LPG,0429D3AB,IC-LDH, LDO 14 000123,EL-1BE,320EL1BE1010007
EL-10E,320EL10E1010008,320EL10E1010008,UMN,UMN,Caltronics-Minnesota,LD Engine E 320EL10E1010008,2024-11-22,1,"Preproduction, thermally tested",IC-LPG,CC2B8E96,IC-LPG,CCA95A03,IC-LPG,442836AA,IC-LDH, LDO 14 002984,EL-1BE,320EL1BE1010008
EL-10E,320EL10E1010009,320EL10E1010009,UMN,UMN,Caltronics-Minnesota,LD Engine E 320EL10E1010009,2024-11-22,1,"Preproduction, thermally tested",IC-LPG,CC2B8E96,IC-LPG,CCA95A03,IC-LPG,442836AA,IC-LDH, LDO 14 003720,EL-1BE,320EL1BE1010009
EL-10E,320EL10E1010010,320EL10E1010010,UMN,UMN,Caltronics-Minnesota,LD Engine E 320EL10E1010010,2024-11-22,1,"Preproduction, thermally tested",IC-LPG,CC2B8E96,IC-LPG,CCA95A03,IC-LPG,442836AA,IC-LDH, LDO 14 003793,EL-1BE,320EL1BE1010010
EL-10E,320EL10E1010011,320EL10E1010011,UMN,UMN,Caltronics-Minnesota,LD Engine E 320EL10E1010011,2024-11-22,1,"Preproduction, thermally tested",IC-LPG,8CA8C82F,IC-LPG,CC2E47C3,IC-LPG,8C2C16DF,IC-LDH, LDO 14 003618,EL-1BE,320EL1BE1010011
EL-10E,320EL10E1010012,320EL10E1010012,UMN,UMN,Caltronics-Minnesota,LD Engine E 320EL10E1010012,2024-11-22,1,"Preproduction, thermally tested",IC-LPG,8CA8C82F,IC-LPG,CC2E47C3,IC-LPG,8C2C16DF,IC-LDH, LDO 14 000023,EL-1BE,320EL1BE1010012
