LABEL_TYPECODE,SERIAL_NUMBER,BARCODE,LOCATION,INSTITUTION,MANUFACTURER,NAME_LABEL,PRODUCTION_DATE,BATCH_NUMBER,COMMENT_DESCRIPTION,MADE-FROM-TYPECODE[0],MADE-FROM-SN[0],MADE-FROM-TYPECODE[1],MADE-FROM-SN[1],MADE-FROM-TYPECODE[2],MADE-FROM-SN[2],MADE-FROM-TYPECODE[3],MADE-FROM-SN[3],MADE-FROM-TYPECODE[4],MADE-FROM-SN[4]
EL-10E,320EL10E1010002,320EL10E1010002,UMN,UMN,Caltronics-Minnesota,LD Engine E 320EL10E1010002,2024-11-22,1,Preproduction,,,,,,,,,EL-1BE,320EL1BE1010002
EL-10E,320EL10E1010007,320EL10E1010007,UMN,UMN,Caltronics-Minnesota,LD Engine E 320EL10E1010007,2024-11-22,1,Preproduction,,,,,,,,,EL-1BE,320EL1BE1010007
EL-10E,320EL10E1010009,320EL10E1010009,UMN,UMN,Caltronics-Minnesota,LD Engine E 320EL10E1010009,2024-11-22,1,Preproduction,,,,,,,,,EL-1BE,320EL1BE1010009
EL-10E,320EL10E1010010,320EL10E1010010,UMN,UMN,Caltronics-Minnesota,LD Engine E 320EL10E1010010,2024-11-22,1,Preproduction,,,,,,,,,EL-1BE,320EL1BE1010010
EL-10E,320EL10E1010011,320EL10E1010011,UMN,UMN,Caltronics-Minnesota,LD Engine E 320EL10E1010011,2024-11-22,1,Preproduction,,,,,,,,,EL-1BE,320EL1BE1010011
EL-10E,320EL10E1010012,320EL10E1010012,UMN,UMN,Caltronics-Minnesota,LD Engine E 320EL10E1010012,2024-11-22,1,Preproduction,,,,,,,,,EL-1BE,320EL1BE1010012
EL-10E,320EL10E1010013,320EL10E1010013,UMN,UMN,Caltronics-Minnesota,LD Engine E 320EL10E1010013,2024-11-22,1,Preproduction,,,,,,,,,EL-1BE,320EL1BE1010013
EL-10E,320EL10E1010014,320EL10E1010014,UMN,UMN,Caltronics-Minnesota,LD Engine E 320EL10E1010014,2024-11-22,1,Preproduction,,,,,,,,,EL-1BE,320EL1BE1010014
EL-10E,320EL10E1010015,320EL10E1010015,UMN,UMN,Caltronics-Minnesota,LD Engine E 320EL10E1010015,2024-11-22,1,Preproduction,,,,,,,,,EL-1BE,320EL1BE1010015
EL-10E,320EL10E1010016,320EL10E1010016,UMN,UMN,Caltronics-Minnesota,LD Engine E 320EL10E1010016,2024-11-22,1,Preproduction,,,,,,,,,EL-1BE,320EL1BE1010016
EL-10E,320EL10E1010017,320EL10E1010017,UMN,UMN,Caltronics-Minnesota,LD Engine E 320EL10E1010017,2024-11-22,1,Preproduction,,,,,,,,,EL-1BE,320EL1BE1010017
EL-10E,320EL10E1010018,320EL10E1010018,UMN,UMN,Caltronics-Minnesota,LD Engine E 320EL10E1010018,2024-11-22,1,Preproduction,,,,,,,,,EL-1BE,320EL1BE1010018
EL-10E,320EL10E1010019,320EL10E1010019,UMN,UMN,Caltronics-Minnesota,LD Engine E 320EL10E1010019,2024-11-22,1,Preproduction,,,,,,,,,EL-1BE,320EL1BE1010019
EL-10E,320EL10E1010020,320EL10E1010020,UMN,UMN,Caltronics-Minnesota,LD Engine E 320EL10E1010020,2024-11-22,1,Preproduction,,,,,,,,,EL-1BE,320EL1BE1010020
EL-10E,320EL10E1010021,320EL10E1010021,UMN,UMN,Caltronics-Minnesota,LD Engine E 320EL10E1010021,2024-11-22,1,Preproduction,,,,,,,,,EL-1BE,320EL1BE1010021
EL-10E,320EL10E1010022,320EL10E1010022,UMN,UMN,Caltronics-Minnesota,LD Engine E 320EL10E1010022,2024-11-22,1,Preproduction,,,,,,,,,EL-1BE,320EL1BE1010022
EL-10E,320EL10E1010023,320EL10E1010023,UMN,UMN,Caltronics-Minnesota,LD Engine E 320EL10E1010023,2024-11-22,1,Preproduction,,,,,,,,,EL-1BE,320EL1BE1010023
EL-10E,320EL10E1010024,320EL10E1010024,UMN,UMN,Caltronics-Minnesota,LD Engine E 320EL10E1010024,2024-11-22,1,Preproduction,,,,,,,,,EL-1BE,320EL1BE1010024
EL-10E,320EL10E1010025,320EL10E1010025,UMN,UMN,Caltronics-Minnesota,LD Engine E 320EL10E1010025,2024-11-22,1,Preproduction,,,,,,,,,EL-1BE,320EL1BE1010025
EL-10E,320EL10E1010026,320EL10E1010026,UMN,UMN,Caltronics-Minnesota,LD Engine E 320EL10E1010026,2024-11-22,1,Preproduction,,,,,,,,,EL-1BE,320EL1BE1010026
EL-10E,320EL10E1010027,320EL10E1010027,UMN,UMN,Caltronics-Minnesota,LD Engine E 320EL10E1010027,2024-11-22,1,Preproduction,,,,,,,,,EL-1BE,320EL1BE1010027
EL-10E,320EL10E1010028,320EL10E1010028,UMN,UMN,Caltronics-Minnesota,LD Engine E 320EL10E1010028,2024-11-22,1,Preproduction,,,,,,,,,EL-1BE,320EL1BE1010028
EL-10E,320EL10E1010029,320EL10E1010029,UMN,UMN,Caltronics-Minnesota,LD Engine E 320EL10E1010029,2024-11-22,1,Preproduction,,,,,,,,,EL-1BE,320EL1BE1010029
EL-10E,320EL10E1010030,320EL10E1010030,UMN,UMN,Caltronics-Minnesota,LD Engine E 320EL10E1010030,2024-11-22,1,Preproduction,,,,,,,,,EL-1BE,320EL1BE1010030
EL-10E,320EL10E1010031,320EL10E1010031,UMN,UMN,Caltronics-Minnesota,LD Engine E 320EL10E1010031,2024-11-22,1,Preproduction,,,,,,,,,EL-1BE,320EL1BE1010031
EL-10E,320EL10E1010032,320EL10E1010032,UMN,UMN,Caltronics-Minnesota,LD Engine E 320EL10E1010032,2024-11-22,1,Preproduction,,,,,,,,,EL-1BE,320EL1BE1010032
EL-10E,320EL10E1010033,320EL10E1010033,UMN,UMN,Caltronics-Minnesota,LD Engine E 320EL10E1010033,2024-11-22,1,Preproduction,,,,,,,,,EL-1BE,320EL1BE1010033
EL-10E,320EL10E1010034,320EL10E1010034,UMN,UMN,Caltronics-Minnesota,LD Engine E 320EL10E1010034,2024-11-22,1,Preproduction,,,,,,,,,EL-1BE,320EL1BE1010034
EL-10E,320EL10E1010035,320EL10E1010035,UMN,UMN,Caltronics-Minnesota,LD Engine E 320EL10E1010035,2024-11-22,1,Preproduction,,,,,,,,,EL-1BE,320EL1BE1010035
EL-10E,320EL10E1010036,320EL10E1010036,UMN,UMN,Caltronics-Minnesota,LD Engine E 320EL10E1010036,2024-11-22,1,Preproduction,,,,,,,,,EL-1BE,320EL1BE1010036
EL-10E,320EL10E1010037,320EL10E1010037,UMN,UMN,Caltronics-Minnesota,LD Engine E 320EL10E1010037,2024-11-22,1,Preproduction,,,,,,,,,EL-1BE,320EL1BE1010037
EL-10E,320EL10E1010039,320EL10E1010039,UMN,UMN,Caltronics-Minnesota,LD Engine E 320EL10E1010039,2024-11-22,1,Preproduction,,,,,,,,,EL-1BE,320EL1BE1010039
EL-10E,320EL10E1010040,320EL10E1010040,UMN,UMN,Caltronics-Minnesota,LD Engine E 320EL10E1010040,2024-11-22,1,Preproduction,,,,,,,,,EL-1BE,320EL1BE1010040
EL-10E,320EL10E1010041,320EL10E1010041,UMN,UMN,Caltronics-Minnesota,LD Engine E 320EL10E1010041,2024-11-22,1,Preproduction,,,,,,,,,EL-1BE,320EL1BE1010041
EL-10E,320EL10E1010042,320EL10E1010042,UMN,UMN,Caltronics-Minnesota,LD Engine E 320EL10E1010042,2024-11-22,1,Preproduction,,,,,,,,,EL-1BE,320EL1BE1010042
EL-10E,320EL10E1010043,320EL10E1010043,UMN,UMN,Caltronics-Minnesota,LD Engine E 320EL10E1010043,2024-11-22,1,Preproduction,,,,,,,,,EL-1BE,320EL1BE1010043
EL-10E,320EL10E1010044,320EL10E1010044,UMN,UMN,Caltronics-Minnesota,LD Engine E 320EL10E1010044,2024-11-22,1,Preproduction,,,,,,,,,EL-1BE,320EL1BE1010044
EL-10E,320EL10E1010046,320EL10E1010046,UMN,UMN,Caltronics-Minnesota,LD Engine E 320EL10E1010046,2024-11-22,1,Preproduction,,,,,,,,,EL-1BE,320EL1BE1010046
EL-10E,320EL10E1010047,320EL10E1010047,UMN,UMN,Caltronics-Minnesota,LD Engine E 320EL10E1010047,2024-11-22,1,Preproduction,,,,,,,,,EL-1BE,320EL1BE1010047
EL-10E,320EL10E1010049,320EL10E1010049,UMN,UMN,Caltronics-Minnesota,LD Engine E 320EL10E1010049,2024-11-22,1,Preproduction,,,,,,,,,EL-1BE,320EL1BE1010049
EL-10E,320EL10E1010050,320EL10E1010050,UMN,UMN,Caltronics-Minnesota,LD Engine E 320EL10E1010050,2024-11-22,1,Preproduction,,,,,,,,,EL-1BE,320EL1BE1010050
EL-10E,320EL10E1010051,320EL10E1010051,UMN,UMN,Caltronics-Minnesota,LD Engine E 320EL10E1010051,2024-11-22,1,Preproduction,,,,,,,,,EL-1BE,320EL1BE1010051
EL-10E,320EL10E1010052,320EL10E1010052,UMN,UMN,Caltronics-Minnesota,LD Engine E 320EL10E1010052,2024-11-22,1,Preproduction,,,,,,,,,EL-1BE,320EL1BE1010052
EL-10E,320EL10E1010053,320EL10E1010053,UMN,UMN,Caltronics-Minnesota,LD Engine E 320EL10E1010053,2024-11-22,1,Preproduction,,,,,,,,,EL-1BE,320EL1BE1010053
EL-10E,320EL10E1010054,320EL10E1010054,UMN,UMN,Caltronics-Minnesota,LD Engine E 320EL10E1010054,2024-11-22,1,Preproduction,,,,,,,,,EL-1BE,320EL1BE1010054
EL-10E,320EL10E1010055,320EL10E1010055,UMN,UMN,Caltronics-Minnesota,LD Engine E 320EL10E1010055,2024-11-22,1,Preproduction,,,,,,,,,EL-1BE,320EL1BE1010055
EL-10E,320EL10E1010057,320EL10E1010057,UMN,UMN,Caltronics-Minnesota,LD Engine E 320EL10E1010057,2024-11-22,1,Preproduction,,,,,,,,,EL-1BE,320EL1BE1010057
EL-10E,320EL10E1010058,320EL10E1010058,UMN,UMN,Caltronics-Minnesota,LD Engine E 320EL10E1010058,2024-11-22,1,Preproduction,,,,,,,,,EL-1BE,320EL1BE1010058
EL-10E,320EL10E1010059,320EL10E1010059,UMN,UMN,Caltronics-Minnesota,LD Engine E 320EL10E1010059,2024-11-22,1,Preproduction,,,,,,,,,EL-1BE,320EL1BE1010059
EL-10E,320EL10E1010060,320EL10E1010060,UMN,UMN,Caltronics-Minnesota,LD Engine E 320EL10E1010060,2024-11-22,1,Preproduction,,,,,,,,,EL-1BE,320EL1BE1010060
