LABEL_TYPECODE,SERIAL_NUMBER,BARCODE,LOCATION,INSTITUTION,MANUFACTURER,NAME_LABEL,PRODUCTION_DATE,MADE-FROM-TYPECODE[0],MADE-FROM-SN[0],COMMENT_DESCRIPTION
IC-LPG,0x2cae5819,0x2cae5819,Minnesota,Minnesota,TSMC,LPGBT DAQ1 0x2cae5819,2024-04-24,IC-LPS,2001,DAQ1 LPGBT for 320EH0QF0010004
IC-LPG,0x8cab2362,0x8cab2362,Minnesota,Minnesota,TSMC,LPGBT DAQ2 0x8cab2362,2024-04-24,IC-LPS,2002,DAQ2 LPGBT for 320EH0QF0010004
IC-LPG,0x4c29bf7f,0x4c29bf7f,Minnesota,Minnesota,TSMC,LPGBT TRG1 0x4c29bf7f,2024-04-24,IC-LPS,2003,TRG1 LPGBT for 320EH0QF0010004
IC-LPG,0xeca82a07,0xeca82a07,Minnesota,Minnesota,TSMC,LPGBT TRG2 0xeca82a07,2024-04-24,IC-LPS,2004,TRG2 LPGBT for 320EH0QF0010004
IC-LPG,0x0c2de79c,0x0c2de79c,Minnesota,Minnesota,TSMC,LPGBT TRG3 0x0c2de79c,2024-04-24,IC-LPS,2005,TRG3 LPGBT for 320EH0QF0010004
IC-LPG,0x842bb7b2,0x842bb7b2,Minnesota,Minnesota,TSMC,LPGBT TRG4 0x842bb7b2,2024-04-24,IC-LPS,2006,TRG4 LPGBT for 320EH0QF0010004
IC-LPG,0x0c2edef3,0x0c2edef3,Minnesota,Minnesota,TSMC,LPGBT DAQ1 0x0c2edef3,2024-04-24,IC-LPS,2007,DAQ1 LPGBT for 320EH0QF0010007
IC-LPG,0x84af1e35,0x84af1e35,Minnesota,Minnesota,TSMC,LPGBT DAQ2 0x84af1e35,2024-04-24,IC-LPS,2008,DAQ2 LPGBT for 320EH0QF0010007
IC-LPG,0xa42c7f9e,0xa42c7f9e,Minnesota,Minnesota,TSMC,LPGBT TRG1 0xa42c7f9e,2024-04-24,IC-LPS,2009,TRG1 LPGBT for 320EH0QF0010007
IC-LPG,0x2c2962c2,0x2c2962c2,Minnesota,Minnesota,TSMC,LPGBT TRG2 0x2c2962c2,2024-04-24,IC-LPS,2010,TRG2 LPGBT for 320EH0QF0010007
