LABEL_TYPECODE,SERIAL_NUMBER,BARCODE,NAME_LABEL,LOCATION,INSTITUTION,MANUFACTURER,PRODUCTION_DATE,MADE-FROM-TYPECODE[0],MADE-FROM-SN[0],COMMENT_DESCRIPTION,ATTRIBUTE-NAME[0],ATTRIBUTE-VALUE[0]
IC-LPG,CC2B8E96,CC2B8E96,LPGBT DAQ 0xCC2B8E96,UMN,UMN,TSMC,2024-04-24,IC-LPS,4000615,DAQ LPGBT for 320EL10E1010008,lpGBT Location LD Engine,DAQ
IC-LPG,CCA95A03,CCA95A03,LPGBT E 0xCCA95A03,UMN,UMN,TSMC,2024-04-24,IC-LPS,4000616,E LPGBT for 320EL10E1010008,lpGBT Location LD Engine,TRIG-E
IC-LPG,442836AA,442836AA,LPGBT W 0x442836AA,UMN,UMN,TSMC,2024-04-24,IC-LPS,4000617,W LPGBT for 320EL10E1010008,lpGBT Location LD Engine,TRIG-W
IC-LPG,E4281428,E4281428,LPGBT DAQ 0xE4281428,UMN,UMN,TSMC,2024-04-24,IC-LPS,4000618,DAQ LPGBT for 320EL10E1010017,lpGBT Location LD Engine,DAQ
IC-LPG,C4AE6DA2,C4AE6DA2,LPGBT E 0xC4AE6DA2,UMN,UMN,TSMC,2024-04-24,IC-LPS,4000619,E LPGBT for 320EL10E1010017,lpGBT Location LD Engine,TRIG-E
IC-LPG,A4AB3DAB,A4AB3DAB,LPGBT W 0xA4AB3DAB,UMN,UMN,TSMC,2024-04-24,IC-LPS,4000620,W LPGBT for 320EL10E1010017,lpGBT Location LD Engine,TRIG-W
IC-LPG,84AAED3C,84AAED3C,LPGBT DAQ 0x84AAED3C,UMN,UMN,TSMC,2024-04-24,IC-LPS,4000621,DAQ LPGBT for 320EL10E1010018,lpGBT Location LD Engine,DAQ
IC-LPG,4CA8B097,4CA8B097,LPGBT E 0x4CA8B097,UMN,UMN,TSMC,2024-04-24,IC-LPS,4000622,E LPGBT for 320EL10E1010018,lpGBT Location LD Engine,TRIG-E
IC-LPG,ACA9C9AA,ACA9C9AA,LPGBT W 0xACA9C9AA,UMN,UMN,TSMC,2024-04-24,IC-LPS,4000623,W LPGBT for 320EL10E1010018,lpGBT Location LD Engine,TRIG-W
IC-LPG,AC283924,AC283924,LPGBT DAQ 0xAC283924,UMN,UMN,TSMC,2024-04-24,IC-LPS,4000624,DAQ LPGBT for 320EL10E1010019,lpGBT Location LD Engine,DAQ
