Test ID,Phase,Channel,Bit Errors
84,0,0,0
84,0,1,0
84,0,2,0
84,0,3,0
84,0,4,0
84,0,5,0
84,0,6,0
84,1,0,0
84,1,1,0
84,1,2,0
84,1,3,0
84,1,4,0
84,1,5,0
84,1,6,0
84,2,0,0
84,2,1,0
84,2,2,0
84,2,3,0
84,2,4,0
84,2,5,0
84,2,6,0
84,3,0,0
84,3,1,0
84,3,2,0
84,3,3,0
84,3,4,0
84,3,5,0
84,3,6,0
91,0,0,0
91,0,1,0
91,0,2,0
91,0,3,0
91,0,4,0
91,0,5,0
91,0,6,0
91,1,0,0
91,1,1,0
91,1,2,0
91,1,3,0
91,1,4,0
91,1,5,0
91,1,6,0
91,2,0,0
91,2,1,0
91,2,2,0
91,2,3,0
91,2,4,0
91,2,5,0
91,2,6,0
91,3,0,0
91,3,1,0
91,3,2,0
91,3,3,0
91,3,4,0
91,3,5,0
91,3,6,0
99,0,0,0
99,0,1,0
99,0,2,0
99,0,3,0
99,0,4,0
99,0,5,0
99,0,6,0
99,1,0,0
99,1,1,0
99,1,2,0
99,1,3,0
99,1,4,0
99,1,5,0
99,1,6,0
99,2,0,0
99,2,1,0
99,2,2,0
99,2,3,0
99,2,4,0
99,2,5,0
99,2,6,0
99,3,0,0
99,3,1,0
99,3,2,0
99,3,3,0
99,3,4,0
99,3,5,0
99,3,6,0
107,0,0,0
107,0,1,0
107,0,2,0
107,0,3,0
107,0,4,0
107,0,5,0
107,0,6,0
107,1,0,0
107,1,1,0
107,1,2,0
107,1,3,0
107,1,4,0
107,1,5,0
107,1,6,0
107,2,0,0
107,2,1,0
107,2,2,0
107,2,3,0
107,2,4,0
107,2,5,0
107,2,6,0
107,3,0,0
107,3,1,0
107,3,2,0
107,3,3,0
107,3,4,0
107,3,5,0
107,3,6,0
122,0,0,0
122,0,1,0
122,0,2,0
122,0,3,0
122,0,4,0
122,0,5,0
122,0,6,0
122,1,0,0
122,1,1,0
122,1,2,0
122,1,3,0
122,1,4,0
122,1,5,0
122,1,6,0
122,2,0,0
122,2,1,0
122,2,2,0
122,2,3,0
122,2,4,0
122,2,5,0
122,2,6,0
122,3,0,0
122,3,1,0
122,3,2,0
122,3,3,0
122,3,4,0
122,3,5,0
122,3,6,0
126,0,0,0
126,0,1,0
126,0,2,0
126,0,3,121634735
126,0,4,0
126,0,5,0
126,0,6,0
126,1,0,0
126,1,1,0
126,1,2,0
126,1,3,108567078
126,1,4,0
126,1,5,0
126,1,6,0
126,2,0,0
126,2,1,0
126,2,2,0
126,2,3,89972632
126,2,4,0
126,2,5,0
126,2,6,0
126,3,0,0
126,3,1,0
126,3,2,0
126,3,3,73881582
126,3,4,0
126,3,5,0
126,3,6,0
143,0,0,0
143,0,1,0
143,0,2,0
143,0,3,115892034
143,0,4,0
143,0,5,0
143,0,6,0
143,1,0,0
143,1,1,0
143,1,2,0
143,1,3,104550928
143,1,4,0
143,1,5,0
143,1,6,0
143,2,0,0
143,2,1,0
143,2,2,0
143,2,3,85361089
143,2,4,0
143,2,5,0
143,2,6,0
143,3,0,0
143,3,1,0
143,3,2,0
143,3,3,70453108
143,3,4,0
143,3,5,0
143,3,6,0
153,0,0,0
153,0,1,0
153,0,2,0
153,0,3,0
153,0,4,0
153,0,5,0
153,0,6,0
153,1,0,0
153,1,1,0
153,1,2,0
153,1,3,0
153,1,4,0
153,1,5,0
153,1,6,0
153,2,0,0
153,2,1,0
153,2,2,0
153,2,3,0
153,2,4,0
153,2,5,0
153,2,6,0
153,3,0,0
153,3,1,0
153,3,2,0
153,3,3,0
153,3,4,0
153,3,5,0
153,3,6,0
163,0,0,141143771
163,0,1,0
163,0,2,0
163,0,3,0
163,0,4,0
163,0,5,0
163,0,6,0
163,1,0,130282875
163,1,1,0
163,1,2,0
163,1,3,0
163,1,4,0
163,1,5,0
163,1,6,0
163,2,0,113823745
163,2,1,0
163,2,2,0
163,2,3,0
163,2,4,0
163,2,5,0
163,2,6,0
163,3,0,95385736
163,3,1,0
163,3,2,0
163,3,3,0
163,3,4,0
163,3,5,0
163,3,6,0
184,0,0,0
184,0,1,0
184,0,2,0
184,0,3,0
184,0,4,0
184,0,5,0
184,0,6,0
184,1,0,0
184,1,1,0
184,1,2,0
184,1,3,0
184,1,4,0
184,1,5,0
184,1,6,0
184,2,0,0
184,2,1,0
184,2,2,0
184,2,3,0
