Test ID,Module,Bit Errors
142,0,0
142,1,0
142,2,0
142,3,0
142,4,0
142,5,0
142,6,0
142,7,607628432
142,8,576502089
142,9,568634481
142,10,577037816
142,11,583083916
142,12,563475526
142,13,524727047
142,14,0
142,15,0
142,16,0
142,17,0
142,18,0
142,19,0
142,20,0
152,0,0
152,1,0
152,2,0
152,3,0
152,4,0
152,5,0
152,6,0
152,7,0
152,8,0
152,9,0
152,10,0
152,11,0
152,12,0
152,13,0
152,14,559637246
152,15,639585424
152,16,519663157
152,17,639585424
152,18,759507691
152,19,519663157
152,20,719533602
162,0,0
162,1,0
162,2,0
162,3,0
162,4,0
162,5,0
162,6,0
162,7,0
162,8,0
162,9,0
162,10,0
162,11,0
162,12,0
162,13,0
162,14,719681292
162,15,639716704
162,16,959575056
162,17,599734410
162,18,559752116
162,19,639716704
162,20,399822940
183,0,0
183,1,0
183,2,0
183,3,0
183,4,12
183,5,12
183,6,12
183,7,0
183,8,0
183,9,0
183,10,0
183,11,0
183,12,0
183,13,0
183,14,479959884
183,15,439963227
183,16,599949855
183,17,719939826
183,18,519956541
183,19,439963227
183,20,919923111
194,0,0
194,1,0
194,2,0
194,3,0
194,4,0
194,5,0
194,6,0
194,7,639844432
194,8,679834709
194,9,479883324
194,10,519873601
194,11,519873601
194,12,639844432
194,13,679834709
194,14,639844432
194,15,719824986
194,16,679834709
194,17,439893047
194,18,519873601
194,19,559863878
194,20,359912493
209,0,0
209,1,0
209,2,0
209,3,0
209,4,0
209,5,0
209,6,0
209,7,279888329
209,8,279888329
209,9,559776658
209,10,599760705
209,11,639744752
209,12,1279489504
209,13,119952141
209,14,599760705
209,15,559776658
209,16,719712846
209,17,679728799
209,18,679728799
209,19,719712846
209,20,679728799
214,0,0
214,1,0
214,2,0
214,3,0
214,4,0
214,5,0
214,6,0
214,7,279756190
214,8,439616870
214,9,319721360
214,10,439616870
214,11,1158989930
214,12,1278885440
214,13,279756190
214,14,639442720
214,15,679407890
214,16,679407890
214,17,519547210
214,18,719373060
214,19,599477550
214,20,759338230
217,0,0
217,1,0
217,2,0
217,3,0
217,4,0
217,5,0
217,6,0
217,7,0
217,8,0
217,9,0
217,10,0
217,11,0
217,12,0
217,13,0
217,14,0
217,15,0
217,16,0
217,17,0
217,18,0
217,19,0
217,20,0
224,0,0
224,1,0
224,2,0
224,3,0
224,4,0
224,5,0
224,6,0
224,7,639647232
224,8,599669280
224,9,599669280
224,10,559691328
224,11,639647232
224,12,719603136
224,13,719603136
224,14,879514944
224,15,719603136
224,16,519713376
224,17,719603136
224,18,479735424
224,19,679625184
224,20,519713376
226,0,0
226,1,0
226,2,0
226,3,0
226,4,0
226,5,0
226,6,0
226,7,0
226,8,0
226,9,0
226,10,0
226,11,0
226,12,0
226,13,0
226,14,0
226,15,0
226,16,0
226,17,0
226,18,0
226,19,0
226,20,0
228,0,0
228,1,0
228,2,0
228,3,0
228,4,0
228,5,0
228,6,0
228,7,279933262
228,8,479885592
228,9,479885592
228,10,559866524
228,11,639847456
228,12,479885592
228,13,319923728
228,14,919780718
228,15,559866524
228,16,719828388
228,17,799809320
228,18,559866524
228,19,639847456
228,20,599856990
239,0,0
239,1,0
239,2,0
239,3,0
239,4,0
239,5,0
239,6,0
239,7,0
239,8,0
239,9,0
239,10,0
239,11,0
239,12,0
239,13,0
239,14,0
239,15,0
239,16,0
239,17,0
239,18,0
239,19,0
239,20,0
252,0,0
252,1,0
252,2,0
252,3,0
252,4,0
252,5,0
252,6,0
252,7,0
252,8,0
252,9,0
252,10,0
252,11,0
252,12,0
252,13,0
252,14,0
252,15,0
252,16,0
252,17,0
252,18,0
252,19,0
252,20,0
262,0,0
262,1,0
262,2,0
262,3,0
262,4,0
262,5,0
262,6,0
262,7,0
262,8,0
262,9,0
262,10,0
262,11,0
262,12,0
262,13,0
262,14,0
262,15,0
262,16,0
262,17,0
262,18,0
262,19,0
262,20,0
273,0,0
273,1,0
273,2,0
273,3,0
273,4,0
273,5,0
273,6,0
273,7,0
273,8,0
273,9,0
273,10,0
273,11,0
273,12,0
273,13,0
273,14,0
273,15,0
273,16,0
273,17,0
273,18,0
273,19,0
273,20,0
284,0,0
284,1,0
284,2,0
284,3,0
284,4,0
284,5,0
284,6,0
284,7,0
284,8,0
284,9,0
284,10,0
284,11,0
284,12,0
284,13,0
284,14,0
284,15,0
284,16,0
284,17,0
284,18,0
284,19,0
284,20,0
297,0,0
297,1,0
297,2,0
297,3,0
297,4,0
297,5,0
297,6,0
297,7,0
297,8,0
297,9,0
297,10,0
297,11,0
297,12,0
297,13,0
297,14,0
297,15,0
297,16,0
297,17,0
297,18,0
297,19,0
297,20,0
309,0,0
309,1,0
309,2,0
309,3,0
309,4,0
309,5,0
309,6,0
309,7,0
309,8,0
309,9,0
309,10,0
309,11,0
309,12,0
309,13,0
309,14,0
309,15,0
309,16,0
309,17,0
309,18,0
309,19,0
309,20,0
318,0,0
318,1,0
318,2,0
318,3,0
318,4,0
318,5,0
318,6,0
318,7,0
318,8,0
318,9,0
318,10,0
318,11,0
318,12,0
318,13,0
318,14,0
318,15,0
318,16,0
318,17,0
318,18,0
318,19,0
318,20,0
