Name,Major SN,Major Code,SubType Name,Sub Code
,0,,sub_sn,
Baseplates,1,BA,BAWL,WL
Baseplates,1,BA,BAWLT,WLT
Baseplates,1,BA,BAWLB,WLB
Baseplates,1,BA,BAWLL,WLL
Baseplates,1,BA,BAWLR,WLR
Baseplates,1,BA,BAWLF,WLF
Baseplates,1,BA,BAWH,WH
Baseplates,1,BA,BAWHT,WHT
Baseplates,1,BA,BAWHB,WHB
Baseplates,1,BA,BAWHL,WHL
Baseplates,1,BA,BAWHR,WHR
Baseplates,1,BA,BAWHF,WHF
Baseplates,1,BA,BAPL,PL
Baseplates,1,BA,BAPLT,PLT
Baseplates,1,BA,BAPLB,PLB
Baseplates,1,BA,BAPLL,PLL
Baseplates,1,BA,BAPLR,PLR
Baseplates,1,BA,BAPLF,PLF
Baseplates,1,BA,BAPH,PH
Baseplates,1,BA,BAPHT,PHT
Baseplates,1,BA,BAPHB,PHB
Baseplates,1,BA,BAPHL,PHL
Baseplates,1,BA,BAPHR,PHR
Baseplates,1,BA,BAPHF,PHF
Baseplates,1,BA,BACL,CL
Baseplates,1,BA,BACLT,CLT
Baseplates,1,BA,BACLB,CLB
Baseplates,1,BA,BACLL,CLL
Baseplates,1,BA,BACLR,CLR
Baseplates,1,BA,BACLF,CLF
Baseplates,1,BA,BACH,CH
Baseplates,1,BA,BACHT,CHT
Baseplates,1,BA,BACHB,CHB
Baseplates,1,BA,BACHL,CHL
Baseplates,1,BA,BACHR,CHR
Baseplates,1,BA,BACHF,CHF
LD Sensors,2,SL,,
HD Sensors,3,SH,,
LD Protomodules,4,PL,,
HD Protomodules,5,PH,,
LD Hexaboard,6,XL,XLF01,F01
LD Hexaboard,6,XL,XLF02,F02
LD Hexaboard,6,XL,XLF03,F03
LD Hexaboard,6,XL,XLF10,F10
LD Hexaboard,6,XL,XLT03,T03
LD Hexaboard,6,XL,XLT10,T10
LD Hexaboard,6,XL,XLB03,B03
LD Hexaboard,6,XL,XLB10,B10
LD Hexaboard,6,XL,XLL03,L03
LD Hexaboard,6,XL,XLL10,L10
LD Hexaboard,6,XL,XLR03,R03
LD Hexaboard,6,XL,XLR10,R10
LD Hexaboard,6,XL,XL503,503
LD Hexaboard,6,XL,XL510,510
HD Hexaboard,7,XH,XHF03,F03
HD Hexaboard,7,XH,XHF10,F10
HD Hexaboard,7,XH,XHT03,T03
HD Hexaboard,7,XH,XHT10,T10
HD Hexaboard,7,XH,XHB03,B03
HD Hexaboard,7,XH,XHB10,B10
HD Hexaboard,7,XH,XHL03,L03
HD Hexaboard,7,XH,XHL10,L10
HD Hexaboard,7,XH,XHR03,R03
HD Hexaboard,7,XH,XHR10,R10
LD Module,8,ML,"Full, 300 um, CuW baseplate",F3W
LD Module,8,ML,"Full, 300 um, PCB baseplate",F3P
LD Module,8,ML,"Full, 300 um, Carbon Fiber baseplate",F3C
LD Module,8,ML,"Full, 200 um, CuW baseplate",F2W
LD Module,8,ML,"Full, 200 um, PCB baseplate",F2P
LD Module,8,ML,"Full, 200 um, Carbon Fiber baseplate",F2C
LD Module,8,ML,"Right, 300 um, CuW baseplate",R3W
LD Module,8,ML,"Right, 300 um, PCB baseplate",R3P
LD Module,8,ML,"Right, 300 um, Carbon Fiber baseplate",R3C
LD Module,8,ML,"Right, 200 um, CuW baseplate",R2W
LD Module,8,ML,"Right, 200 um, PCB baseplate",R2P
LD Module,8,ML,"Right, 200 um, Carbon Fiber baseplate",R2C
LD Module,8,ML,"Top, 300 um, CuW baseplate",T3W
LD Module,8,ML,"Top, 300 um, PCB baseplate",T3P
LD Module,8,ML,"Top, 300 um, Carbon Fiber baseplate",T3C
LD Module,8,ML,"Top, 200 um, CuW baseplate",T2W
LD Module,8,ML,"Top, 200 um, PCB baseplate",T2P
LD Module,8,ML,"Top, 200 um, Carbon Fiber baseplate",T2C
LD Module,8,ML,"Left, 300 um, CuW baseplate",L3W
LD Module,8,ML,"Left, 300 um, PCB baseplate",L3P
LD Module,8,ML,"Left, 300 um, Carbon Fiber baseplate",L3C
LD Module,8,ML,"Left, 200 um, CuW baseplate",L2W
LD Module,8,ML,"Left, 200 um, PCB baseplate",L2P
