Test ID,Phase,E Link,Bit Errors
71,0,0,0
71,0,1,0
71,0,2,0
71,0,3,0
71,0,4,0
71,0,5,0
71,0,6,0
71,0,7,0
71,0,8,0
71,0,9,0
71,0,10,0
71,0,11,0
71,0,12,0
71,0,13,0
71,0,14,0
71,0,15,0
71,0,16,0
71,0,17,0
71,0,18,0
71,0,19,0
71,0,20,0
71,1,0,0
71,1,1,0
71,1,2,0
71,1,3,0
71,1,4,0
71,1,5,0
71,1,6,0
71,1,7,246868742
71,1,8,246868742
71,1,9,0
71,1,10,0
71,1,11,0
71,1,12,0
71,1,13,0
71,1,14,0
71,1,15,0
71,1,16,0
71,1,17,0
71,1,18,0
71,1,19,0
71,1,20,0
71,2,0,0
71,2,1,0
71,2,2,0
71,2,3,0
71,2,4,0
71,2,5,0
71,2,6,0
71,2,7,0
71,2,8,0
71,2,9,0
71,2,10,0
71,2,11,0
71,2,12,0
71,2,13,1364985
71,2,14,1364985
71,2,15,0
71,2,16,259425888
71,2,17,0
71,2,18,0
71,2,19,0
71,2,20,0
71,3,0,0
71,3,1,139946177
71,3,2,0
71,3,3,0
71,3,4,0
71,3,5,0
71,3,6,490
71,3,7,0
71,3,8,0
71,3,9,0
71,3,10,0
71,3,11,0
71,3,12,0
71,3,13,0
71,3,14,0
71,3,15,0
71,3,16,0
71,3,17,0
71,3,18,3570582
71,3,19,0
71,3,20,0
71,4,0,0
71,4,1,0
71,4,2,0
71,4,3,0
71,4,4,0
71,4,5,410451597
71,4,6,747415
71,4,7,747415
71,4,8,371250349
71,4,9,371250349
71,4,10,371250349
71,4,11,371250349
71,4,12,0
71,4,13,410451597
71,4,14,747415
71,4,15,747415
71,4,16,371250349
71,4,17,371250349
71,4,18,371250349
71,4,19,371250349
71,4,20,0
71,5,0,0
71,5,1,0
71,5,2,0
71,5,3,0
71,5,4,438854916
71,5,5,0
71,5,6,90686
71,5,7,90686
71,5,8,90686
71,5,9,90686
71,5,10,0
71,5,11,0
71,5,12,438854916
71,5,13,438854916
71,5,14,90686
71,5,15,90686
71,5,16,90686
71,5,17,90686
71,5,18,0
71,5,19,0
71,5,20,0
71,6,0,0
71,6,1,0
71,6,2,348336646
71,6,3,0
71,6,4,0
71,6,5,0
71,6,6,0
71,6,7,0
71,6,8,0
71,6,9,0
71,6,10,0
71,6,11,0
71,6,12,0
71,6,13,0
71,6,14,0
71,6,15,0
71,6,16,0
71,6,17,0
71,6,18,0
71,6,19,0
71,6,20,0
71,7,0,0
71,7,1,0
71,7,2,0
71,7,3,0
71,7,4,0
71,7,5,0
71,7,6,0
71,7,7,0
71,7,8,0
71,7,9,0
71,7,10,0
71,7,11,1771
71,7,12,0
71,7,13,0
71,7,14,546936594
71,7,15,102230872
71,7,16,631341511
71,7,17,942399021
71,7,18,0
71,7,19,0
71,7,20,0
71,8,0,0
71,8,1,0
71,8,2,0
71,8,3,0
71,8,4,0
71,8,5,0
71,8,6,0
71,8,7,0
71,8,8,0
71,8,9,0
71,8,10,0
71,8,11,0
71,8,12,0
71,8,13,0
71,8,14,0
71,8,15,0
71,8,16,537059303
71,8,17,172782302
71,8,18,566455955
71,8,19,733901207
71,8,20,0
71,9,0,0
71,9,1,0
71,9,2,0
71,9,3,0
71,9,4,503388670
71,9,5,24088206
71,9,6,0
71,9,7,0
71,9,8,0
71,9,9,0
71,9,10,0
71,9,11,0
71,9,12,0
71,9,13,24088206
71,9,14,0
71,9,15,0
71,9,16,0
71,9,17,0
71,9,18,0
71,9,19,0
71,9,20,0
71,10,0,0
71,10,1,0
71,10,2,0
71,10,3,0
71,10,4,0
71,10,5,0
71,10,6,0
71,10,7,124401
71,10,8,0
71,10,9,0
71,10,10,321268493
71,10,11,0
71,10,12,0
71,10,13,0
71,10,14,0
71,10,15,0
71,10,16,0
71,10,17,0
71,10,18,576564232
71,10,19,150636841
71,10,20,568373379
71,11,0,0
71,11,1,0
71,11,2,0
71,11,3,0
71,11,4,0
71,11,5,0
71,11,6,0
71,11,7,0
71,11,8,0
71,11,9,0
71,11,10,0
71,11,11,11689976
71,11,12,0
71,11,13,0
71,11,14,0
71,11,15,0
71,11,16,0
71,11,17,305
71,11,18,0
71,11,19,11689976
71,11,20,11689976
71,12,0,508727057
71,12,1,508727057
71,12,2,508727057
71,12,3,0
71,12,4,22462493
71,12,5,172097714
71,12,6,172097714
71,12,7,508727057
71,12,8,508727057
71,12,9,508727057
71,12,10,508727057
71,12,11,0
71,12,12,276522866
71,12,13,82890737
71,12,14,613562399
71,12,15,31865992
71,12,16,698475401
71,12,17,779890059
71,12,18,0
71,12,19,0
71,12,20,0
71,13,0,104613283
71,13,1,104613283
71,13,2,104613283
71,13,3,104613283
71,13,4,104613283
71,13,5,104613283
71,13,6,104613283
71,13,7,104613283
71,13,8,104613283
71,13,9,104613283
71,13,10,104613283
71,13,11,104613283
71,13,12,104613283
71,13,13,104613283
71,13,14,0
71,13,15,0
71,13,16,514043874
71,13,17,514043874
71,13,18,104613283
71,13,19,104613283
71,13,20,104613283
71,14,0,0
71,14,1,0
71,14,2,0
71,14,3,0
71,14,4,0
71,14,5,0
71,14,6,0
71,14,7,0
71,14,8,0
71,14,9,0
71,14,10,0
71,14,11,523781163
71,14,12,0
71,14,13,0
71,14,14,0
71,14,15,74361315
71,14,16,716792865
71,14,17,940396137
71,14,18,0
71,14,19,0
71,14,20,0
71,15,0,1119122116
71,15,1,1119122116
71,15,2,1119122116
71,15,3,1119122116
71,15,4,1119122116
71,15,5,1119122116
71,15,6,1119122116
71,15,7,1119122116
71,15,8,1119122116
71,15,9,1119122116
71,15,10,1119122116
71,15,11,1119122116
71,15,12,1119122116
71,15,13,1119122116
71,15,14,1119122116
71,15,15,1119122116
71,15,16,1119122116
71,15,17,1119122116
71,15,18,1119122116
71,15,19,1119122116
71,15,20,1119122116
77,0,0,59861227
77,0,1,0
77,0,2,39944786
77,0,3,0
77,0,4,0
77,0,5,0
77,0,6,0
77,0,7,0
77,0,8,0
77,0,9,0
77,0,10,0
77,0,11,0
77,0,12,0
