Test ID,Connector,Channel,Bit Errors
70,E,0,0
70,E,1,0
70,E,2,0
70,W,0,0
70,W,1,0
70,W,2,0
70,DAQ,2,0
76,E,0,0
76,E,1,0
76,E,2,0
76,W,0,0
76,W,1,0
76,W,2,0
76,DAQ,2,0
82,E,0,0
82,E,1,0
82,E,2,0
82,W,0,0
82,W,1,0
82,W,2,0
82,DAQ,2,0
89,E,0,0
89,E,1,0
89,E,2,0
89,W,0,0
89,W,1,0
89,W,2,0
89,DAQ,2,0
97,E,0,0
97,E,1,0
97,E,2,0
97,W,0,0
97,W,1,0
97,W,2,0
97,DAQ,2,0
105,E,0,0
105,E,1,0
105,E,2,0
105,W,0,0
105,W,1,0
105,W,2,0
105,DAQ,2,0
110,E,0,0
110,E,1,0
110,E,2,0
110,W,0,0
110,W,1,0
110,W,2,0
110,DAQ,2,0
117,E,0,0
117,E,1,0
117,E,2,0
117,W,0,0
117,W,1,0
117,W,2,0
117,DAQ,2,0
139,E,0,0
139,E,1,0
139,E,2,0
139,W,0,0
139,W,1,0
139,W,2,0
139,DAQ,2,0
149,E,0,0
149,E,1,0
149,E,2,0
149,W,0,0
149,W,1,0
149,W,2,0
149,DAQ,2,0
159,E,0,0
159,E,1,0
159,E,2,0
159,W,0,0
159,W,1,0
159,W,2,0
159,DAQ,2,0
180,E,0,0
180,E,1,0
180,E,2,0
180,W,0,0
180,W,1,0
180,W,2,0
180,DAQ,2,0
206,E,0,0
206,E,1,0
206,E,2,0
206,W,0,0
206,W,1,0
206,W,2,0
206,DAQ,2,0
237,E,0,0
237,E,1,0
237,E,2,0
237,W,0,0
237,W,1,0
237,W,2,0
237,DAQ,2,0
249,E,0,0
249,E,1,0
249,E,2,0
249,W,0,0
249,W,1,0
249,W,2,0
249,DAQ,2,0
259,E,0,0
259,E,1,0
259,E,2,0
259,W,0,0
259,W,1,0
259,W,2,0
259,DAQ,2,0
270,E,0,0
270,E,1,0
270,E,2,0
270,W,0,0
270,W,1,0
270,W,2,0
270,DAQ,2,0
294,E,0,0
294,E,1,0
294,E,2,0
294,W,0,0
294,W,1,0
294,W,2,0
294,DAQ,2,0
306,E,0,0
306,E,1,0
306,E,2,0
306,W,0,0
306,W,1,0
306,W,2,0
306,DAQ,2,0
321,E,0,0
321,E,1,0
321,E,2,0
321,W,0,0
321,W,1,0
321,W,2,0
321,DAQ,2,0
